Pnt,Average, Average (uV),Buffer1,Buffer1 (uV),Buffer2,Buffer2 (uV)
13.15,-145627,-1.085,-6441,-96,-139186,-2.074
13.20,-132319,-986,770,11,-133089,-1.983
13.25,-124348,-926,16616,248,-140964,-2.101
13.30,-124057,-924,6202,92,-130259,-1.941
13.35,-118378,-882,-8301,-124,-110077,-1.640
13.40,-103629,-772,-7088,-106,-96541,-1.439
13.45,-105966,-790,-11254,-168,-94712,-1.411
13.50,-134996,-1.006,-34067,-508,-100929,-1.504
13.55,-150249,-1.119,-54247,-808,-96002,-1.431
13.60,-136335,-1.016,-53167,-792,-83168,-1.239
13.65,-120567,-898,-54596,-814,-65971,-983
13.70,-150376,-1.120,-85296,-1.271,-65080,-970
13.75,-140836,-1.049,-90076,-1.342,-50760,-756
13.80,-131427,-979,-90549,-1.349,-40878,-609
13.85,-146624,-1.092,-100624,-1.499,-46000,-685
13.90,-129150,-962,-99271,-1.479,-29879,-445
13.95,-127283,-948,-111125,-1.656,-16158,-241
14.00,-132386,-986,-114119,-1.701,-18267,-272
14.05,-120047,-894,-110953,-1.653,-9094,-136
14.10,-105002,-782,-116148,-1.731,11146,166
14.15,-103117,-768,-120844,-1.801,17727,264
14.20,-95074,-708,-112187,-1.672,17113,255
14.25,-74393,-554,-95914,-1.429,21521,321
14.30,-49465,-369,-80883,-1.205,31418,468
14.35,-50895,-379,-93178,-1.389,42283,630
14.40,-86454,-644,-124513,-1.855,38059,567
14.45,-91796,-684,-130057,-1.938,38261,570
14.50,-77421,-577,-114196,-1.702,36775,548
14.55,-79131,-590,-116575,-1.737,37444,558
14.60,-56036,-418,-124287,-1.852,68251,1.017
14.65,-30313,-226,-116904,-1.742,86591,1.290
14.70,-37896,-282,-118514,-1.766,80618,1.201
14.75,-45536,-339,-124152,-1.850,78616,1.172
14.80,-33414,-249,-120558,-1.797,87144,1.299
14.85,-24455,-182,-120312,-1.793,95857,1.428
14.90,-48789,-364,-144588,-2.155,95799,1.428
14.95,-53965,-402,-166523,-2.481,112558,1.677
15.00,-28318,-211,-167847,-2.501,139529,2.079
15.05,-19829,-148,-167615,-2.498,147786,2.202
